id_almacen|id_empresa|nombre_almacen|direccion|es_principal|activo|fecha_creacion|fecha_actualizacion|creado_por_usuario|actualizado_por_usuario
1|1|Almacén Central|Bodega 5, Zona Industrial|1|1|2024-01-01|2024-01-01|1|1
2|1|Almacén Norte|Av. Norte 210|0|1|2024-02-01|2024-02-01|1|1
3|1|Almacén Sur|Av. Sur 315|0|1|2024-02-02|2024-02-02|1|1
4|1|Almacén Oriente|Calzada Oriente 88|0|1|2024-02-03|2024-02-03|1|1
5|1|Almacén Poniente|Boulevard Poniente 450|0|1|2024-02-04|2024-02-04|1|1
6|1|Almacén Centro|Centro Comercial Local 12|0|1|2024-02-05|2024-02-05|1|1
7|1|Almacén Express|Av. Reforma 700|0|1|2024-02-06|2024-02-06|1|1
8|1|Almacén Bajío|Carretera Estatal 45|0|1|2024-02-07|2024-02-07|1|1
9|1|Almacén Pacífico|Av. del Mar 190|0|1|2024-02-08|2024-02-08|1|1
10|1|Almacén Golfo|Paseo del Puerto 25|0|1|2024-02-09|2024-02-09|1|1
11|1|Almacén Sureste|Av. Maya 330|0|1|2024-02-10|2024-02-10|1|1
